quarter_start,age_16_to_24_not_in_ft_education_total_sa,age_16_to_24_not_in_ft_education_in_employment_sa,age_16_to_24_not_in_ft_education_unemployed_sa,age_16_to_24_not_in_ft_education_economically_inactive_sa,age_16_to_24_not_in_ft_education_employment_rate_sa,age_16_to_24_not_in_ft_education_unemployment_rate_sa,age_16_to_24_not_in_ft_education_economic_inactivity_rate_sa,age_16_to_24_in_ft_education_total_sa,age_16_to_24_in_ft_education_in_employment_sa,age_16_to_24_in_ft_education_unemployed_sa,age_16_to_24_in_ft_education_economically_inactive_sa,age_16_to_24_in_ft_education_employment_rate_sa,age_16_to_24_in_ft_education_unemployment_rate_sa,age_16_to_24_in_ft_education_economic_inactivity_rate_sa
2019-10-01,3891034.852298685,2929504.1999005806,339397.8739153972,622132.7784827072,75.28856232603349,10.382625916939704,15.988877049383746,2997842.147701315,860498.0639664404,141138.97907109902,1996205.1046637758,28.703915068585346,14.090830610965074,66.58806589247621
2020-01-01,3851649.22652344,2862601.8085277868,356280.09346911544,632767.3245265378,74.32145660656687,11.068442531181075,16.42847744724884,3021702.773476561,929259.3108475213,175053.34218875557,1917390.1204402843,30.7528364140984,15.851791764537992,63.45396169571861
2020-04-01,3920242.1237057606,2827243.04680648,363877.2024724238,729121.8744268571,72.11909258640172,11.402804471396804,18.59889903273694,2932200.8762942376,839889.4632178504,186375.34576592865,1905936.0673104585,28.643653646243916,18.160551169096404,65.0001874946307
2020-07-01,3633944.556464196,2647124.6844869256,406804.8106851438,580015.061292127,72.84438833218083,13.320700799683094,15.961032213889295,3215794.4435358024,832529.8243007329,202030.82311474156,2181233.796120328,25.888776130397094,19.528175909208635,67.82876935759727
2020-10-01,3686025.4473718917,2687311.022011457,405141.90318132925,593572.5221791051,72.90538441419305,13.100988535050126,16.10332133225824,3146708.552628108,773657.5481422022,192923.07898095588,2180127.92550495,24.586247350300336,19.959336403746725,69.2828042077212
2021-01-01,3640296.971863999,2684594.1503852336,369831.91796703346,585870.9035117318,73.74656988522005,12.108065793405896,16.094041448814515,3175866.028136,753537.605063268,174776.81792686932,2247551.605145863,23.726995987470517,18.827329792410882,70.76972344658412
2021-04-01,3584583.9198325295,2723441.782207856,320490.5321582058,540651.605466468,75.97651061089104,10.52883241344189,15.08268790905381,3220557.0801674696,801544.4810622521,205562.13978287083,2213450.4593223464,24.888379901671286,20.411159605958247,68.72880698041367
2021-07-01,3585777.65941347,2686769.435527865,302837.88780270366,596170.3360829011,74.92850061337444,10.129687783388471,16.62597050650423,3229333.340586531,926750.5539192344,173939.7191994749,2128643.0674678218,28.69789074641989,15.802785165588135,65.91586692878242
2021-10-01,3602632.717581495,2689906.5902614435,294305.9126333415,618420.2146867099,74.66502419561718,9.862096360358223,17.16578577851437,3210692.2824185058,1007395.7250757602,166477.8392901247,2036818.718052621,31.37627765177556,14.181922512247258,63.438615067724726
2022-01-01,3633385.502015832,2752445.776479964,278632.52658040717,602307.1989554605,75.75430063649688,9.192521562345716,16.57702433780549,3183311.497984168,954573.1243503788,159050.3066675475,2069688.0669662422,29.98679598131889,14.282234212885129,65.01682503508914
2022-04-01,3669306.5591015276,2782289.5564715452,268826.44819697307,618190.5544330091,75.82603174897497,8.810758023806411,16.847612606791305,3154213.4408984724,925370.4354937461,160132.55390367156,2068710.451501055,29.337597243582724,14.751921963159589,65.58562032225016
2022-07-01,3638378.2280821083,2751883.9275205396,252957.02821685263,633537.272344716,75.63490530700365,8.418316707706635,17.412628171938888,3201637.7719178936,942295.7255897635,146540.26864530848,2112801.7776828213,29.43167818217285,13.458433540145395,65.99128096921405
2022-10-01,3729826.040227146,2728780.9270034684,320620.8842369558,680424.2289867217,73.16107769029585,10.51422226664628,18.242787241232403,3107910.9597728527,971312.7757697166,150389.7479442828,1986208.4360588533,31.25291516848046,13.407275526699955,63.908151223354835
2023-01-01,3816376.102325014,2833732.1830688748,330508.993835125,652134.9254210142,74.25191089899414,10.445126504500715,17.087805497569285,3024734.8976749857,963885.0247371237,151789.4033013049,1909060.4696365572,31.866760471406288,13.605170064548314,63.11496822759539
